DOCULECT;CONCEPT;IPA;VARIANTS
NK;go;ʧuyin;
SWK;go;ʧun;
NWK;go;ʧuyin;
Bakhtiyari;good;xoʔ;
Balochi;good;ʔar;
Gilaki;good;xob;xuʃ
Judeo-Tati;good;xub;
Kumzari;good;xair;
Luri;good;xuʔ;
Modern_Persian;good;xub;
Ormuri;good;ʔir;
Ossetic_Iron;good;xorz;dzaebaex
Parachi;good;kori;nek
Shughni;good;baʔand;
Taleshi;good;xuʔ;
Wakhi;good;xub;buf
Waziri;good;ʔe;
Yaghnobi;good;obadon;
Zazaki;good;weʔ;hol
SEK ;good;baʃ;
SK;good;baʃ;
NK;good;ɹɨnd;baʃ
SWK;good;rɨnd;
NWK;good;ɹɨnd;
Bakhtiyari;hair;mi;
Balochi;hair;pʔut;
Gilaki;hair;mu;
Judeo-Tati;hair;muj;
Kumzari;hair;mu;
Luri;hair;my;
Modern_Persian;hair;mu;
Ormuri;hair;dri;dəro
Ossetic_Iron;hair;særɨxʔuɨn;xʔuyn
Parachi;hair;doʃ;ʔol
Shughni;hair;muj;tor
Taleshi;hair;my;
Wakhi;hair;ʃafʃ;ɣani
Waziri;hair;weʔte;
Yaghnobi;hair;diraw;paʔm
Zazaki;hair;mu;por
SEK ;hair;pɨrʧ;
SK;hair;pov;por 
NK;hair;por;
SWK;hair;por;
NWK;hair;por;
Bakhtiyari;hand;dast;
Balochi;hand;dast;
Gilaki;hand;dʔs;
Judeo-Tati;hand;des;
Kumzari;hand;dist;
Luri;hand;dass;
Modern_Persian;hand;dast;
Ormuri;hand;dest;
Ossetic_Iron;hand;kʔux;
Parachi;hand;dɜst;
Shughni;hand;dast;xikufta
Taleshi;hand;dast;
Wakhi;hand;dast;
Waziri;hand;los;
Yaghnobi;hand;dast;
Zazaki;hand;dest;
SEK ;hand;mɨl;dɛst 
SK;hand;mɨl;dɛst 
NK;hand;phi;dɛst
SWK;hand;phi;dɛst
NWK;hand;phi;dæst
Bakhtiyari;hard;seft;
Balochi;hard;trond;
